ano_agricola,dsc_safra_previsao,uf,produto,id_produto,area_plantada_mil_ha,producao_mil_t,produtividade_mil_ha_mil_t
1989/90             ,UNICA          ,MA,ALGODAO EM PLUMA                        ,4586,3.0,0.2,0.1
1989/90             ,UNICA          ,MG,ALGODAO EM PLUMA                        ,4586,114.1,28.8,0.3
1989/90             ,UNICA          ,MS,ALGODAO EM PLUMA                        ,4586,42.7,24.5,0.6
1989/90             ,UNICA          ,MT,ALGODAO EM PLUMA                        ,4586,43.0,20.4,0.5
1989/90             ,UNICA          ,PA,ALGODAO EM PLUMA                        ,4586,8.2,1.4,0.2
1989/90             ,UNICA          ,PB,ALGODAO EM PLUMA                        ,4586,80.0,4.5,0.1
1989/90             ,UNICA          ,PE,ALGODAO EM PLUMA                        ,4586,35.0,1.6,0.0
1989/90             ,UNICA          ,PI,ALGODAO EM PLUMA                        ,4586,156.0,4.8,0.0
1989/90             ,UNICA          ,PR,ALGODAO EM PLUMA                        ,4586,510.5,308.8,0.6
1989/90             ,UNICA          ,RN,ALGODAO EM PLUMA                        ,4586,104.5,3.1,0.0
1989/90             ,UNICA          ,RO,ALGODAO EM PLUMA                        ,4586,15.5,7.7,0.5
1989/90             ,UNICA          ,SE,ALGODAO EM PLUMA                        ,4586,11.9,1.0,0.1
1989/90             ,UNICA          ,SP,ALGODAO EM PLUMA                        ,4586,290.0,166.0,0.6
1990/91             ,UNICA          ,AL,ALGODAO EM PLUMA                        ,4586,22.4,2.2,0.1
1990/91             ,UNICA          ,BA,ALGODAO EM PLUMA                        ,4586,175.2,45.4,0.3
1990/91             ,UNICA          ,CE,ALGODAO EM PLUMA                        ,4586,225.6,21.7,0.1
1990/91             ,UNICA          ,GO,ALGODAO EM PLUMA                        ,4586,51.9,34.5,0.7
1990/91             ,UNICA          ,MA,ALGODAO EM PLUMA                        ,4586,1.8,0.1,0.1
1990/91             ,UNICA          ,MG,ALGODAO EM PLUMA                        ,4586,119.5,37.2,0.3
1990/91             ,UNICA          ,MS,ALGODAO EM PLUMA                        ,4586,48.0,27.5,0.6
1990/91             ,UNICA          ,MT,ALGODAO EM PLUMA                        ,4586,71.0,39.3,0.6
1990/91             ,UNICA          ,PA,ALGODAO EM PLUMA                        ,4586,8.2,1.4,0.2
1990/91             ,UNICA          ,PB,ALGODAO EM PLUMA                        ,4586,99.8,12.7,0.1
1990/91             ,UNICA          ,PE,ALGODAO EM PLUMA                        ,4586,51.8,3.1,0.1
1990/91             ,UNICA          ,PI,ALGODAO EM PLUMA                        ,4586,112.4,6.6,0.1
1990/91             ,UNICA          ,PR,ALGODAO EM PLUMA                        ,4586,571.8,344.2,0.6
1990/91             ,UNICA          ,RN,ALGODAO EM PLUMA                        ,4586,114.8,12.8,0.1
1990/91             ,UNICA          ,RO,ALGODAO EM PLUMA                        ,4586,15.5,7.7,0.5
1990/91             ,UNICA          ,SE,ALGODAO EM PLUMA                        ,4586,5.5,0.3,0.1
1990/91             ,UNICA          ,SP,ALGODAO EM PLUMA                        ,4586,243.6,120.1,0.5
1991/92             ,UNICA          ,AL,ALGODAO EM PLUMA                        ,4586,20.0,1.9,0.1
1991/92             ,UNICA          ,BA,ALGODAO EM PLUMA                        ,4586,202.2,41.8,0.2
1991/92             ,UNICA          ,CE,ALGODAO EM PLUMA                        ,4586,238.7,10.4,0.0
1991/92             ,UNICA          ,GO,ALGODAO EM PLUMA                        ,4586,55.0,29.5,0.5
1991/92             ,UNICA          ,MA,ALGODAO EM PLUMA                        ,4586,1.8,0.1,0.1
1991/92             ,UNICA          ,MG,ALGODAO EM PLUMA                        ,4586,114.7,27.7,0.2
1991/92             ,UNICA          ,MS,ALGODAO EM PLUMA                        ,4586,69.7,32.9,0.5
1991/92             ,UNICA          ,MT,ALGODAO EM PLUMA                        ,4586,57.0,29.9,0.5
1991/92             ,UNICA          ,PA,ALGODAO EM PLUMA                        ,4586,5.1,0.9,0.2
1991/92             ,UNICA          ,PB,ALGODAO EM PLUMA                        ,4586,86.8,7.8,0.1
1991/92             ,UNICA          ,PE,ALGODAO EM PLUMA                        ,4586,40.1,2.4,0.1
1991/92             ,UNICA          ,PI,ALGODAO EM PLUMA                        ,4586,83.1,6.2,0.1
1991/92             ,UNICA          ,PR,ALGODAO EM PLUMA                        ,4586,709.0,335.0,0.5
1991/92             ,UNICA          ,RN,ALGODAO EM PLUMA                        ,4586,45.0,4.9,0.1
1991/92             ,UNICA          ,RO,ALGODAO EM PLUMA                        ,4586,10.0,4.7,0.5
1991/92             ,UNICA          ,SE,ALGODAO EM PLUMA                        ,4586,3.0,0.2,0.1
1991/92             ,UNICA          ,SP,ALGODAO EM PLUMA                        ,4586,230.0,130.8,0.6
1991/92             ,UNICA          ,TO,ALGODAO EM PLUMA                        ,4586,5.1,0.9,0.2
1992/93             ,UNICA          ,AL,ALGODAO EM PLUMA                        ,4586,6.7,0.1,0.0
1992/93             ,UNICA          ,BA,ALGODAO EM PLUMA                        ,4586,127.2,30.5,0.2
1992/93             ,UNICA          ,CE,ALGODAO EM PLUMA                        ,4586,206.4,4.5,0.0
1992/93             ,UNICA          ,GO,ALGODAO EM PLUMA                        ,4586,38.5,27.0,0.7
1992/93             ,UNICA          ,MA,ALGODAO EM PLUMA                        ,4586,4.5,0.6,0.1
1992/93             ,UNICA          ,MG,ALGODAO EM PLUMA                        ,4586,100.7,27.1,0.3
1992/93             ,UNICA          ,MS,ALGODAO EM PLUMA                        ,4586,36.2,20.2,0.6
1992/93             ,UNICA          ,MT,ALGODAO EM PLUMA                        ,4586,60.0,33.6,0.6
1992/93             ,UNICA          ,PB,ALGODAO EM PLUMA                        ,4586,37.2,0.9,0.0
1992/93             ,UNICA          ,PE,ALGODAO EM PLUMA                        ,4586,13.5,0.2,0.0
1992/93             ,UNICA          ,PI,ALGODAO EM PLUMA                        ,4586,83.1,6.2,0.1
1992/93             ,UNICA          ,PR,ALGODAO EM PLUMA                        ,4586,371.0,185.6,0.5
1992/93             ,UNICA          ,RN,ALGODAO EM PLUMA                        ,4586,16.5,0.3,0.0
1992/93             ,UNICA          ,RO,ALGODAO EM PLUMA                        ,4586,20.0,9.3,0.5
1992/93             ,UNICA          ,SP,ALGODAO EM PLUMA                        ,4586,149.5,73.3,0.5
1992/93             ,UNICA          ,TO,ALGODAO EM PLUMA                        ,4586,5.1,0.9,0.2
1993/94             ,UNICA          ,AL,ALGODAO EM PLUMA                        ,4586,45.3,4.3,0.1
1993/94             ,UNICA          ,BA,ALGODAO EM PLUMA                        ,4586,142.5,45.3,0.3
1993/94             ,UNICA          ,CE,ALGODAO EM PLUMA                        ,4586,208.0,27.3,0.1
1993/94             ,UNICA          ,GO,ALGODAO EM PLUMA                        ,4586,52.7,35.5,0.7
1993/94             ,UNICA          ,MA,ALGODAO EM PLUMA                        ,4586,4.5,0.6,0.1
